common_name,species,distribution_and_rarity
Common Blue Skimmer,Orthetrum glaucum,Widespread & Common
Slender Blue Skimmer,Orthetrum luzonicum,Widespread & Common
Variegated Green Skimmer,Orthetrum sabina,Widespread & Common
Scarlet Skimmer,Orthetrum testaceum,Widespread & Common
Wandering Glider,Pantala flavescens,Widespread & Common
Mangrove Marshal,Pornothemis starrei,Widespread but Uncommon
Common Chaser,Potamarcha congener,Widespread & Common
Banded Skimmer,Pseudothemis jorina,Widespread but Uncommon
Mangrove Dwarf,Raphismia bispina,Widespread but Uncommon
Common Redbolt,Rhodothemis rufa,Widespread & Common
Small Bronze Flutterer,Rhyothemis fulgens,Nationally Extinct
Bronze Flutterer,Rhyothemis obsolescens,Widespread but Uncommon
Yellow-barred Flutterer,Rhyothemis phyllis,Widespread & Common
Sapphire Flutterer,Rhyothemis triangularis,Widespread but Uncommon
Potbellied Elf,Risiophlebia dohrni,Restricted & Rare
Elf,Tetrathemis hyalina,Restricted & Very Rare
White-barred Duskhawk,Tholymis tillarga,Widespread & Common
Saddlebag Glider,Tramea transmarina euryale,Widespread & Common
Crimson Dropwing,Trithemis aurora,Widespread & Common
Indigo Dropwing,Trithemis festiva,Widespread & Common
Dancing Dropwing,Trithemis pallidinervis,Widespread but Uncommon
Treehugger,Tyriobapta torrida,Widespread & Common
Rare Basker,Urothemis abbotti,Nationally Extinct
Scarlet Basker,Urothemis signata insignata,Widespread & Common
White Duskdarter,Zyxomma obtusum,Restricted & Uncommon
Slender Duskdarter,Zyxomma petiolatum,Widespread & Common
Pond Cruiser,Epophthalmia vittigera,Widespread & Common
Stream Cruiser,Macromia cincta,Restricted & Rare
Lesser Stream Cruiser,Macromia cydippe,Restricted & Rare
Shadowdancer,Idionyx yolanda,Widespread but Uncommon
Bornean Slim,Aciagrion borneense,
Yellow-tinted Elf,Tetrathemis flavescens,
