id,taxon,common_name,family,type,app_claimed_rarity,inat_sg_observations,inat_sg_research_grade,inat_global_observations,inat_bucket
30,Pericnemis stictica,Dryad,Coenagrionidae,zygoptera,rare,52,50,81,many records (51-150)
20,Archibasis melanocyana,Blue-nosed Sprite,Coenagrionidae,zygoptera,rare,53,45,69,many records (51-150)
131,Mortonagrion aborense,Blue Midget,Coenagrionidae,zygoptera,,53,53,529,many records (51-150)
83,Chalybeothemis fluviatilis,Green-eyed Percher,Libellulidae,anisoptera,uncommon,54,54,108,many records (51-150)
92,Lyriothemis cleis,Bombardier,Libellulidae,anisoptera,rare,55,55,179,many records (51-150)
17,Agriocnemis nana,Dwarf Wisp,Coenagrionidae,zygoptera,very rare,58,51,213,many records (51-150)
67,Epophthalmia vittigera,Pond Cruiser,Corduliidae,anisoptera,rare,60,52,136,many records (51-150)
42,Copera vittata,Variable Featherlegs,Platycnemididae,zygoptera,rare,63,61,1597,many records (51-150)
5,Libellago aurantiaca,Fiery Gem,Chlorocyphidae,zygoptera,uncommon,75,75,184,many records (51-150)
125,Urothemis signata insignata,Scarlet Basker,Libellulidae,anisoptera,very common,76,75,105,many records (51-150)
70,Macromia cincta,Stream Cruiser,Corduliidae,anisoptera,rare,77,72,95,many records (51-150)
18,Agriocnemis pygmaea,Wandering Wisp,Coenagrionidae,zygoptera,,87,71,9031,many records (51-150)
99,Orchithemis pruinans,Blue Sentinel,Libellulidae,anisoptera,rare,89,82,128,many records (51-150)
116,Risiophlebia dohrni,Potbellied Elf,Libellulidae,anisoptera,rare,95,92,152,many records (51-150)
27,Mortonagrion arthuri,Arthur's Midget,Coenagrionidae,zygoptera,rare,96,90,130,many records (51-150)
34,Pseudagrion rubriceps,Orange-face Sprite,Coenagrionidae,zygoptera,very rare,97,97,2667,many records (51-150)
43,Drepanosticta quadrata,Singapore Shadowdamsel,Platystictidae,zygoptera,common,97,96,153,many records (51-150)
6,Libellago hyalina,Clearwing Gem,Chlorocyphidae,zygoptera,rare,101,96,359,many records (51-150)
10,Euphaea impar,Blue-sided Satinwing,Euphaeidae,zygoptera,uncommon,120,116,494,many records (51-150)
73,Aethriamanta aethra,Blue Adjudant,Libellulidae,anisoptera,common,128,105,383,many records (51-150)
77,Agrionoptera sexlineata,Handsome Grenadier,Libellulidae,anisoptera,uncommon,137,136,320,many records (51-150)
51,Gynacantha dohrni,Spear-tail Duskhawker,Aeshnidae,anisoptera,uncommon,153,118,188,abundant records (150+)
41,Copera marginipes,Yellow Featherlegs,Platycnemididae,zygoptera,common,158,145,9706,abundant records (150+)
35,Teinobasis ruficollis,Red-tailed Sprite,Coenagrionidae,zygoptera,rare,161,159,211,abundant records (150+)
25,Ceriagrion chaoi,Fiery Coraltail,Coenagrionidae,zygoptera,rare,163,153,346,abundant records (150+)
89,Hydrobasileus croceus,Water Monarch,Libellulidae,anisoptera,common,164,156,803,abundant records (150+)
48,Anax guttatus,Emperor,Aeshnidae,anisoptera,uncommon,166,141,1166,abundant records (150+)
